draw,date,winning number 1,2,3,4,5,6,extra number,from last,low,high,odd,even,1-10,11-20,21-30,31-40,41-50,division 1 winners,division 1 prize,division 2 winners,division 2 prize,division 3 winners,division 3 prize,division 4 winners,division 4 prize,division 5 winners,division 5 prize,division 6 winners,division 6 prize,division 7 winners,division 7 prize,turnover,main1,main2,main3,main4,main5,main6,extra
12/117,2012-10-11,1.0,3.0,11.0,18.0,40.0,46.0,35.0,,4.0,2.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,102.0,86680.0,277.5,9600.0,6234.5,640.0,7622.4,320.0,125350.8,40.0,71109958.0,1,,,,,,
12/118,2012-10-13,5.0,6.0,11.0,26.0,33.0,41.0,4.0,11,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,28744470.0,3.0,1156780.0,167.0,55410.0,413.5,9600.0,8774.9,640.0,12266.8,320.0,153797.5,40.0,83493915.0,5,,,,,,
12/119,2012-10-16,9.0,17.0,27.0,35.0,39.0,44.0,40.0,,2.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.5,845090.0,110.5,71380.0,220.5,9600.0,5610.2,640.0,6246.5,320.0,102651.3,40.0,62002507.0,9,,,,,,
12/120,2012-10-18,4.0,6.0,10.0,14.0,16.0,29.0,26.0,,5.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,358200.0,167.5,39910.0,488.0,9600.0,7998.4,640.0,10466.9,320.0,125964.8,40.0,67706001.0,4,,,,,,
12/121,2012-10-20,4.0,19.0,31.0,34.0,37.0,44.0,6.0,4,2.0,4.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.5,2578020.0,97.5,105760.0,237.5,9600.0,5466.7,640.0,7281.5,320.0,105006.4,40.0,75257369.0,4,,,,,,
12/122,2012-10-23,11.0,28.0,29.0,41.0,45.0,47.0,21.0,,1.0,5.0,5.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0,71084710.0,2.0,2390550.0,151.0,84430.0,347.0,9600.0,7476.0,640.0,11209.9,320.0,142535.7,40.0,97094262.0,11,,,,,,
12/123,2012-10-25,8.0,17.0,23.0,40.0,41.0,43.0,28.0,41,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,21.0,208350.0,99.5,9600.0,2136.0,640.0,3249.5,320.0,44774.0,40.0,31802589.0,8,,,,,,
12/124,2012-10-27,26.0,28.0,30.0,34.0,36.0,39.0,1.0,,0.0,6.0,1.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1994640.0,61.7,86200.0,117.0,9600.0,2680.8,640.0,3497.7,320.0,51617.4,40.0,38214207.0,26,,,,,,
12/125,2012-10-30,1.0,20.0,28.0,30.0,34.0,40.0,19.0,"28,30,34",2.0,4.0,1.0,5.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.5,1051830.0,164.0,59860.0,361.5,9600.0,10042.2,640.0,9237.4,320.0,138559.8,40.0,84010751.0,1,,,,,,
12/126,2012-11-01,15.0,18.0,24.0,28.0,34.0,42.0,2.0,"28,34",3.0,3.0,1.0,5.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,3744370.0,101.0,98860.0,281.0,9600.0,5754.0,640.0,8799.4,320.0,111447.4,40.0,76083680.0,15,,,,,,
12/127,2012-11-03,1.0,12.0,33.0,36.0,46.0,48.0,41.0,,2.0,4.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,1.0,65018000.0,1.5,2831250.0,133.5,84830.0,259.0,9600.0,7168.9,640.0,7659.5,320.0,134706.2,40.0,85234238.0,1,,,,,,
12/128,2012-11-06,1.0,6.0,8.0,28.0,37.0,39.0,42.0,1,3.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.5,943930.0,84.5,44680.0,135.0,9600.0,4729.1,640.0,3639.6,320.0,76561.6,40.0,35041901.0,1,,,,,,
12/129,2012-11-08,15.0,26.0,31.0,37.0,44.0,47.0,43.0,37,1.0,5.0,4.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.5,1064300.0,44.0,129000.0,119.0,9600.0,2692.5,640.0,3509.5,320.0,51880.8,40.0,40107495.0,15,,,,,,
12/130,2012-11-11,9.0,26.0,28.0,35.0,45.0,47.0,25.0,"26,47",1.0,5.0,4.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,22664860.0,4.5,534420.0,62.0,103430.0,200.5,9600.0,3709.9,640.0,5872.0,320.0,74987.1,40.0,49622420.0,9,,,,,,
12/131,2012-11-13,3.0,5.0,25.0,26.0,29.0,30.0,31.0,26,2.0,4.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.5,943690.0,66.5,56760.0,150.2,9600.0,3351.0,640.0,3752.3,320.0,58687.5,40.0,32416894.0,3,,,,,,
12/132,2012-11-15,18.0,20.0,36.0,41.0,46.0,48.0,21.0,,2.0,4.0,1.0,5.0,0.0,2.0,0.0,1.0,3.0,1.0,14238080.0,1.0,2079360.0,43.0,128950.0,91.0,9600.0,2488.5,640.0,3201.0,320.0,48350.5,40.0,38255531.0,18,,,,,,
12/133,2012-11-17,7.0,12.0,24.0,39.0,43.0,48.0,30.0,48,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,0.5,4000000.0,1.0,1508240.0,46.0,87430.0,94.0,9600.0,2224.0,640.0,3104.1,320.0,43777.4,40.0,29851038.0,7,,,,,,
12/134,2012-11-20,2.0,11.0,20.0,37.0,45.0,47.0,13.0,,3.0,3.0,4.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.5,1087860.0,69.5,62610.0,154.0,9600.0,3533.5,640.0,4338.5,320.0,58438.0,40.0,35963490.0,2,,,,,,
12/135,2012-11-22,9.0,22.0,26.0,30.0,44.0,49.0,31.0,,2.0,4.0,2.0,4.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,65.0,69130.0,145.0,9600.0,3855.5,640.0,4360.2,320.0,71418.0,40.0,37883911.0,9,,,,,,
12/136,2012-11-24,2.0,3.0,4.0,15.0,23.0,40.0,13.0,,5.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1858410.0,70.0,70790.0,187.7,9600.0,3823.3,640.0,5784.5,320.0,73817.1,40.0,41976562.0,2,,,,,,
12/137,2012-11-27,8.0,20.0,21.0,24.0,34.0,47.0,10.0,,4.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.5,961850.0,50.5,126970.0,172.5,9600.0,3441.9,640.0,6633.3,320.0,71147.4,40.0,48969789.0,8,,,,,,
12/138,2012-11-29,13.0,17.0,26.0,28.0,32.0,34.0,6.0,34,2.0,4.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,656030.0,112.0,46850.0,356.5,9600.0,6696.1,640.0,9091.7,320.0,95364.4,40.0,53426139.0,13,,,,,,
12/139,2012-12-01,10.0,16.0,17.0,27.0,36.0,38.0,47.0,17,3.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,8.0,337530.0,147.9,48680.0,244.5,9600.0,6737.0,640.0,6966.5,320.0,108770.6,40.0,61150819.0,10,,,,,,
12/140,2012-12-04,7.0,10.0,11.0,18.0,37.0,47.0,4.0,10,4.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,314850.0,220.0,34340.0,602.5,9600.0,10125.1,640.0,14979.9,320.0,163863.3,40.0,82169646.0,7,,,,,,
12/141,2012-12-06,1.0,6.0,38.0,41.0,43.0,45.0,48.0,,2.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,64521730.0,2.0,2265030.0,130.5,92560.0,334.5,9600.0,7457.0,640.0,10772.5,320.0,139750.0,40.0,92978025.0,1,,,,,,
12/142,2012-12-08,15.0,22.0,30.0,33.0,34.0,47.0,38.0,,2.0,4.0,3.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,100020.0,113.5,9600.0,2302.5,640.0,2827.7,320.0,45100.1,40.0,30118674.0,15,,,,,,
12/143,2012-12-11,2.0,15.0,28.0,41.0,42.0,49.0,24.0,15,2.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,54.0,109030.0,138.0,9600.0,2825.0,640.0,4324.8,320.0,58859.3,40.0,42677796.0,2,,,,,,
12/144,2012-12-13,6.0,9.0,29.0,31.0,42.0,47.0,14.0,42,2.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2292670.0,64.5,94780.0,168.5,9600.0,3964.5,640.0,5822.4,320.0,80066.9,40.0,48179351.0,6,,,,,,
12/145,2012-12-15,18.0,21.0,28.0,33.0,41.0,47.0,48.0,47,2.0,4.0,4.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2503600.0,67.0,99640.0,212.0,9600.0,4393.2,640.0,6182.0,320.0,82768.4,40.0,52735687.0,18,,,,,,
12/146,2012-12-18,8.0,14.0,21.0,41.0,45.0,48.0,34.0,"21,41",3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,42704240.0,3.0,1109270.0,102.5,86570.0,226.5,9600.0,4668.9,640.0,6704.5,320.0,91404.4,40.0,65451595.0,8,,,,,,
12/147,2012-12-20,4.0,12.0,25.0,34.0,36.0,40.0,49.0,,2.0,4.0,1.0,5.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,752630.0,57.0,70420.0,131.0,9600.0,2722.1,640.0,3072.0,320.0,49874.0,40.0,31491290.0,4,,,,,,
12/148,2012-12-23,9.0,27.0,28.0,32.0,34.0,43.0,2.0,34,1.0,5.0,3.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.5,957420.0,49.0,104200.0,151.5,9600.0,3342.6,640.0,4572.9,320.0,61992.0,40.0,39934909.0,9,,,,,,
12/149,2012-12-25,12.0,18.0,23.0,24.0,46.0,49.0,14.0,,4.0,2.0,2.0,4.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.5,1364780.0,59.5,91750.0,149.5,9600.0,3683.0,640.0,3953.2,320.0,68149.7,40.0,42186989.0,12,,,,,,
12/150,2012-12-27,4.0,7.0,29.0,39.0,44.0,47.0,23.0,,2.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,558420.0,113.5,52480.0,183.0,9600.0,4605.5,640.0,5088.0,320.0,79510.0,40.0,47920082.0,4,,,,,,
12/151,2012-12-29,1.0,6.0,9.0,11.0,33.0,39.0,40.0,39,4.0,2.0,5.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,7.5,226150.0,171.0,26450.0,326.0,9600.0,9118.7,640.0,6743.1,320.0,132601.0,40.0,53431978.0,1,,,,,,
12/152,2012-12-31,5.0,6.0,25.0,30.0,32.0,48.0,45.0,6,2.0,4.0,2.0,4.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,808160.0,75.5,114170.0,260.5,9600.0,5579.0,640.0,8318.5,320.0,105713.7,40.0,67859848.0,5,,,,,,
13/001,2013-01-03,17.0,25.0,32.0,33.0,46.0,48.0,39.0,"25,32,48",1.0,5.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.5,3980070.0,165.5,96190.0,416.5,9600.0,8840.5,640.0,11690.7,320.0,165044.1,40.0,118029979.0,17,,,,,,
13/002,2013-01-08,14.0,19.0,20.0,21.0,29.0,49.0,7.0,,4.0,2.0,4.0,2.0,0.0,3.0,2.0,0.0,1.0,2.0,41343400.0,7.0,1068830.0,230.0,86740.0,775.5,9600.0,12926.2,640.0,22145.4,320.0,238908.1,40.0,161430634.0,14,,,,,,
13/003,2013-01-10,2.0,9.0,24.0,34.0,41.0,45.0,48.0,,3.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,73.0,56350.0,121.0,9600.0,2953.2,640.0,3586.0,320.0,52578.5,40.0,32599347.0,2,,,,,,
13/004,2013-01-13,3.0,6.0,19.0,21.0,31.0,49.0,7.0,,4.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.5,1181070.0,50.0,94480.0,240.5,9600.0,3808.1,640.0,7515.6,320.0,66378.0,40.0,42194389.0,3,,,,,,
13/005,2013-01-15,3.0,4.0,7.0,24.0,27.0,31.0,13.0,"3,31",4.0,2.0,4.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,20079730.0,3.0,580250.0,125.5,36980.0,290.4,9600.0,6265.3,640.0,7476.7,320.0,96436.5,40.0,47778499.0,3,,,,,,
13/006,2013-01-17,2.0,8.0,14.0,25.0,43.0,44.0,11.0,,3.0,3.0,2.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,32.5,126710.0,147.0,9600.0,2531.2,640.0,4542.4,320.0,50119.8,40.0,32969568.0,2,,,,,,
13/007,2013-01-19,3.0,12.0,19.0,21.0,31.0,48.0,26.0,,4.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.5,1076710.0,100.0,43060.0,166.5,9600.0,4665.9,640.0,4558.2,320.0,66087.7,40.0,37997742.0,3,,,,,,
13/008,2013-01-22,2.0,4.0,20.0,22.0,30.0,37.0,1.0,,4.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2060240.0,72.0,76300.0,259.0,9600.0,4310.9,640.0,8765.1,320.0,79900.9,40.0,48777028.0,2,,,,,,
13/009,2013-01-24,1.0,2.0,3.0,9.0,20.0,49.0,24.0,"2,20",5.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,1.0,1.5,16480650.0,9.0,153720.0,233.0,19200.0,494.0,9600.0,11006.7,640.0,10428.6,320.0,133045.5,40.0,50914760.0,1,,,,,,
13/010,2013-01-26,2.0,29.0,41.0,42.0,45.0,48.0,5.0,2,1.0,5.0,3.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0,8000000.0,1.5,1022800.0,49.5,82650.0,132.5,9600.0,2311.0,640.0,3157.2,320.0,39917.7,40.0,30736434.0,2,,,,,,
13/011,2013-01-29,8.0,20.0,26.0,36.0,44.0,47.0,28.0,,2.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1744630.0,38.5,120840.0,134.0,9600.0,2263.4,640.0,4287.6,320.0,45951.5,40.0,34678339.0,8,,,,,,
13/012,2013-01-31,16.0,22.0,27.0,35.0,38.0,46.0,32.0,,2.0,4.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,1.0,12240970.0,9.5,148800.0,150.0,25130.0,260.5,9600.0,5234.9,640.0,4966.7,320.0,67059.0,40.0,37924648.0,16,,,,,,
13/013,2013-02-03,2.0,17.0,23.0,39.0,47.0,48.0,22.0,,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,43.5,97770.0,126.5,9600.0,3029.0,640.0,3731.8,320.0,55468.7,40.0,33798067.0,2,,,,,,
13/014,2013-02-05,5.0,19.0,31.0,32.0,34.0,45.0,13.0,,2.0,4.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0,0.5,7845220.0,1.0,2031810.0,59.0,91830.0,161.5,9600.0,2877.8,640.0,4804.7,320.0,57535.2,40.0,40955886.0,5,,,,,,
13/015,2013-02-07,3.0,8.0,12.0,18.0,22.0,33.0,37.0,,5.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,10304580.0,5.0,163950.0,246.5,19200.0,259.5,9600.0,8423.1,640.0,5388.2,320.0,107515.3,40.0,40760830.0,3,,,,,,
13/016,2013-02-09,4.0,8.0,10.0,35.0,46.0,47.0,32.0,8,3.0,3.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,47.5,94450.0,98.5,9600.0,2495.5,640.0,3024.2,320.0,50041.5,40.0,33033204.0,4,,,,,,
13/017,2013-02-14,11.0,16.0,24.0,27.0,36.0,48.0,47.0,,3.0,3.0,2.0,4.0,0.0,2.0,2.0,1.0,1.0,2.0,28442570.0,5.5,1144550.0,239.0,70230.0,458.5,9600.0,11686.4,640.0,13582.0,320.0,212246.9,40.0,131175195.0,11,,,,,,
13/018,2013-02-16,3.0,12.0,30.0,35.0,37.0,38.0,18.0,,2.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.5,764680.0,44.0,92680.0,131.0,9600.0,2394.5,640.0,4014.2,320.0,48683.9,40.0,31900166.0,3,,,,,,
13/019,2013-02-19,5.0,18.0,19.0,32.0,40.0,44.0,34.0,,3.0,3.0,2.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,15530600.0,2.5,902120.0,62.5,96220.0,146.5,9600.0,3294.1,640.0,4436.3,320.0,62743.0,40.0,44382179.0,5,,,,,,
13/020,2013-02-21,11.0,14.0,21.0,22.0,32.0,49.0,7.0,32,4.0,2.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,8000000.0,3.5,378980.0,41.0,86270.0,262.7,9600.0,2814.8,640.0,6919.4,320.0,52177.5,40.0,33967032.0,11,,,,,,
13/021,2013-02-23,12.0,19.0,23.0,30.0,35.0,36.0,15.0,,3.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0,79670.0,118.0,9600.0,2985.8,640.0,3490.8,320.0,50147.4,40.0,31282363.0,12,,,,,,
13/022,2013-02-26,1.0,4.0,15.0,16.0,18.0,36.0,21.0,36,5.0,1.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1884760.0,85.0,59120.0,177.4,9600.0,4494.3,640.0,4958.7,320.0,76498.5,40.0,42655454.0,1,,,,,,
13/023,2013-02-28,10.0,11.0,23.0,26.0,28.0,30.0,17.0,,3.0,3.0,2.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,116.5,39800.0,260.2,9600.0,5610.2,640.0,7015.7,320.0,90175.9,40.0,45702260.0,10,,,,,,
13/024,2013-03-03,7.0,8.0,26.0,31.0,35.0,39.0,37.0,26,2.0,4.0,4.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2616000.0,74.5,93630.0,217.0,9600.0,4400.8,640.0,6376.6,320.0,86037.7,40.0,54715967.0,7,,,,,,
13/025,2013-03-05,4.0,6.0,8.0,35.0,36.0,43.0,5.0,"8,35",3.0,3.0,2.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,4.5,550410.0,101.0,65390.0,353.3,9600.0,5291.1,640.0,10165.9,320.0,100440.7,40.0,59619108.0,4,,,,,,
13/026,2013-03-07,8.0,9.0,24.0,35.0,39.0,41.0,2.0,"8,35",3.0,3.0,4.0,2.0,2.0,0.0,1.0,2.0,1.0,1.5,31493020.0,2.0,1647860.0,99.5,88320.0,303.0,9600.0,5519.2,640.0,8956.9,320.0,109861.3,40.0,70085613.0,8,,,,,,
13/027,2013-03-09,9.0,18.0,24.0,34.0,40.0,43.0,28.0,"9,24",3.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.5,585570.0,47.0,83060.0,128.7,9600.0,2358.5,640.0,3360.1,320.0,43379.9,40.0,30148619.0,9,,,,,,
13/028,2013-03-12,13.0,15.0,17.0,30.0,38.0,45.0,4.0,,3.0,3.0,4.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,2.5,832250.0,64.0,86690.0,152.5,9600.0,3185.0,640.0,4171.9,320.0,60837.0,40.0,41692046.0,13,,,,,,
13/029,2013-03-14,3.0,4.0,15.0,16.0,17.0,46.0,12.0,"15,17",5.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,20191810.0,2.0,991640.0,102.5,51590.0,219.9,9600.0,4402.1,640.0,6119.0,320.0,73983.5,40.0,45139708.0,3,,,,,,
13/030,2013-03-16,6.0,9.0,31.0,41.0,45.0,47.0,18.0,,2.0,4.0,5.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.5,718525.0,33.5,114390.0,115.0,9600.0,2421.5,640.0,3648.7,320.0,44244.6,40.0,29849974.0,6,,,,,,
13/031,2013-03-19,3.0,12.0,15.0,28.0,29.0,34.0,8.0,,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,768620.0,71.0,57730.0,266.7,9600.0,3677.6,640.0,7716.9,320.0,64100.5,40.0,39276508.0,3,,,,,,
13/032,2013-03-21,1.0,4.0,13.0,22.0,39.0,42.0,34.0,,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,72.0,77350.0,140.4,9600.0,3807.6,640.0,4004.4,320.0,73609.0,40.0,43170760.0,1,,,,,,
13/033,2013-03-23,6.0,9.0,17.0,25.0,33.0,42.0,27.0,42,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.5,1258450.0,140.5,35820.0,255.0,9600.0,5449.0,640.0,6760.1,320.0,85556.6,40.0,46944592.0,6,,,,,,
13/034,2013-03-26,10.0,15.0,26.0,35.0,40.0,44.0,11.0,,2.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,42154010.0,1.5,2700890.0,136.5,79140.0,388.5,9600.0,7522.2,640.0,11580.5,320.0,135419.2,40.0,87678628.0,10,,,,,,
13/035,2013-03-28,12.0,17.0,31.0,38.0,44.0,45.0,43.0,44,2.0,4.0,3.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,792370.0,30.5,138550.0,85.5,9600.0,1903.0,640.0,2422.2,320.0,37214.3,40.0,29467109.0,12,,,,,,
13/036,2013-03-30,4.0,6.0,19.0,25.0,34.0,43.0,17.0,,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.5,573500.0,41.0,93250.0,136.5,9600.0,2570.3,640.0,3946.8,320.0,49523.6,40.0,30931736.0,4,,,,,,
13/037,2013-04-02,2.0,4.0,9.0,31.0,33.0,46.0,5.0,4,3.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,18096050.0,2.5,772630.0,66.0,78040.0,155.0,9600.0,3262.2,640.0,5902.4,320.0,68241.2,40.0,41379596.0,2,,,,,,
13/038,2013-04-04,2.0,7.0,11.0,15.0,17.0,27.0,4.0,2,5.0,1.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,0.5,4000000.0,6.0,133620.0,127.5,19200.0,486.9,9600.0,5146.1,640.0,8465.0,320.0,67428.3,40.0,28770162.0,2,,,,,,
13/039,2013-04-06,10.0,12.0,16.0,29.0,41.0,48.0,25.0,,3.0,3.0,2.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,797580.0,31.0,137210.0,107.0,9600.0,2297.7,640.0,3374.4,320.0,47217.1,40.0,31763824.0,10,,,,,,
13/040,2013-04-09,2.0,3.0,25.0,28.0,35.0,43.0,39.0,,2.0,4.0,4.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2030960.0,46.5,116470.0,125.0,9600.0,3293.6,640.0,4017.7,320.0,65849.5,40.0,40937736.0,2,,,,,,
13/041,2013-04-11,11.0,18.0,20.0,24.0,29.0,49.0,2.0,,4.0,2.0,3.0,3.0,0.0,3.0,2.0,0.0,1.0,0.5,10368370.0,3.5,557930.0,75.0,69430.0,179.4,9600.0,3626.7,640.0,5861.1,320.0,70155.1,40.0,42650352.0,11,,,,,,
13/042,2013-04-13,8.0,16.0,29.0,40.0,46.0,47.0,18.0,29,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,42.0,125960.0,103.5,9600.0,2227.0,640.0,3329.1,320.0,46676.1,40.0,36824931.0,8,,,,,,
13/043,2013-04-16,11.0,15.0,21.0,27.0,38.0,43.0,48.0,,3.0,3.0,5.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,12720080.0,1.0,2378700.0,95.5,66420.0,183.5,9600.0,4468.4,640.0,5040.5,320.0,80490.3,40.0,49778420.0,11,,,,,,
13/044,2013-04-18,4.0,5.0,14.0,17.0,22.0,39.0,9.0,,5.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,8377850.0,3.0,448400.0,87.0,41230.0,313.2,9600.0,4126.2,640.0,8299.0,320.0,72273.0,40.0,38979850.0,4,,,,,,
13/045,2013-04-21,9.0,10.0,15.0,33.0,40.0,49.0,48.0,,3.0,3.0,4.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,43.0,78410.0,174.5,9600.0,2975.7,640.0,4679.5,320.0,54507.8,40.0,30593087.0,9,,,,,,
13/046,2013-04-23,7.0,20.0,23.0,29.0,35.0,41.0,6.0,,3.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.5,720670.0,40.5,118620.0,169.0,9600.0,3080.1,640.0,4774.9,320.0,58694.6,40.0,38275151.0,7,,,,,,
13/047,2013-04-25,14.0,15.0,17.0,22.0,38.0,48.0,19.0,,4.0,2.0,2.0,4.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.5,1024935.0,70.0,78090.0,142.0,9600.0,3498.2,640.0,4033.2,320.0,67733.6,40.0,41887781.0,14,,,,,,
13/048,2013-04-27,4.0,7.0,16.0,23.0,26.0,28.0,9.0,,4.0,2.0,2.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.5,310250.0,99.5,37410.0,433.7,9600.0,5238.3,640.0,9784.0,320.0,87086.8,40.0,45108692.0,4,,,,,,
13/049,2013-04-30,4.0,18.0,24.0,30.0,31.0,49.0,36.0,4,3.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,0.5,16976605.0,0.0,0.0,91.5,76940.0,214.5,9600.0,5340.2,640.0,7381.7,320.0,98762.4,40.0,57651884.0,4,,,,,,
13/050,2013-05-02,1.0,5.0,28.0,31.0,44.0,46.0,14.0,31,2.0,4.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.5,1510100.0,50.0,120800.0,146.0,9600.0,3143.4,640.0,4168.1,320.0,63806.2,40.0,44248131.0,1,,,,,,
13/051,2013-05-04,1.0,10.0,29.0,40.0,44.0,49.0,33.0,"1,44",2.0,4.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.5,1158710.0,89.0,69430.0,199.0,9600.0,4627.0,640.0,5967.4,320.0,75328.5,40.0,49577572.0,1,,,,,,
13/052,2013-05-07,5.0,9.0,14.0,24.0,29.0,37.0,36.0,29,4.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.5,927850.0,115.0,75300.0,291.0,9600.0,6721.4,640.0,8548.0,320.0,125620.2,40.0,71568032.0,5,,,,,,
13/053,2013-05-09,12.0,14.0,15.0,16.0,22.0,34.0,13.0,14,5.0,1.0,1.0,5.0,0.0,4.0,1.0,1.0,0.0,1.0,55390220.0,3.0,1236040.0,127.2,77730.0,508.6,9600.0,6937.6,640.0,9610.3,320.0,127335.8,40.0,82698344.0,12,,,,,,
